                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.11827,                0.63541,                0.95912,                0.86478,                0.85442,                0.87692,                0.87692,                0.17453,                0.48163,                0.25626,              0.0033331,              0.0033331,              0.0033331
                      2,                0.05382,                0.43966,                 0.9077,                0.85386,                0.85164,                0.87289,                0.87289,                 0.1951,                0.52603,                0.28511,              0.0060064,              0.0060064,              0.0060064
                      3,                0.04533,                0.43297,                0.90539,                0.72696,                0.83778,                 0.8592,                0.85613,                 0.2131,                0.80684,                0.30528,              0.0080198,              0.0080198,              0.0080198
                      4,                0.03584,                0.42216,                0.90229,                0.48483,                0.61017,                0.47432,                0.37853,                  1.182,                 3.8319,                0.92503,                0.00703,                0.00703,                0.00703
                      5,                0.02989,                0.41061,                0.90113,                0.48483,                0.61017,                0.47432,                0.37853,                 2.0109,                 6.2489,                 1.4272,                0.00703,                0.00703,                0.00703
                      6,                0.02455,                0.40152,                0.89975,                0.64971,                0.02921,                0.33764,                0.25421,                  1.614,                 5.4387,                  1.089,                0.00604,                0.00604,                0.00604
                      7,                    inf,                0.39592,                0.89813,                 0.5006,                0.95355,                0.65154,                0.59299,                0.62056,                  1.515,                0.50657,                0.00505,                0.00505,                0.00505
                      8,                    inf,                0.39098,                0.89774,                0.72502,                0.83313,                 0.8503,                 0.8494,                0.26765,                0.73884,                0.31679,                0.00406,                0.00406,                0.00406
                      9,                    inf,                0.38488,                0.89664,                0.82852,                 0.8317,                0.87202,                0.87198,                0.19079,                0.57695,                0.26182,                0.00307,                0.00307,                0.00307
                     10,                    inf,                0.37931,                0.89677,                0.85897,                0.84303,                0.87862,                 0.8785,                0.16014,                0.51234,                0.22779,                0.00208,                0.00208,                0.00208
